2	3	27	1
3	10	378	1
4	13	434	1
5	14	292	2
6	13	114	1
7	9	304	2
8	13	120	1
9	22	349	2
10	21	869	3
11	18	4506	3
13	15	738	1
14	15	288	2
15	10	878	2
16	13	821	1
17	12	353	2
18	23	469	3
19	15	237	3
22	19	308	4
23	12	1177	1
24	1	27	1
25	30	2234	3
26	38	5804	3
27	25	552	3
28	17	295	2
29	31	1075	5
30	31	847	4
31	10	884	3
32	15	735	2
33	32	1648	3
34	6	69	1
35	42	2081	5
37	32	918	3
38	17	569	3
39	10	163	1
40	14	3520	2
41	13	433	2
42	13	389	3
43	26	338	4
44	25	311	5
45	20	1772	2
46	18	952	4
48	26	767	5
49	22	846	5
50	18	1370	3
51	7	310	1
53	15	1621	2
54	9	107	2
55	34	575	5
56	11	969	1
57	5	146	2
58	57	1048	8
59	27	513	4
60	10	465	2
61	25	281	3
63	11	196	1
64	21	292	3
65	10	354	1
66	21	1303	3
67	28	402	4
68	39	1017	6
69	22	497	3
70	8	76	1
71	4	1416	1
72	35	1450	4
74	11	702	1
75	28	1298	4
76	14	201	2
77	25	696	2
78	24	540	4
79	11	348	1
80	5	261	2
81	8	75	1
82	17	1046	3
84	14	1285	3
85	37	547	4
86	16	365	2
87	25	992	3
88	36	2014	3
89	4	126	1
91	18	544	2
92	8	121	1
93	33	772	4
94	17	517	4
95	11	206	1
96	31	1248	4
97	10	170	2
98	6	228	1
99	38	1276	5
100	15	730	2
101	51	3936	4
102	16	338	2
103	24	426	3
104	5	324	1
105	13	124	1
106	18	1132	2
107	3	6	1
108	38	4763	5
109	59	2242	7
110	7	444	1
111	26	671	3
112	6	147	2
113	20	664	3
114	60	910	7
115	32	1570	5
116	57	1460	6
117	15	260	1
118	24	627	5
119	15	857	1
120	18	2506	2
121	3	29	1
122	11	126	1
123	27	634	2
124	25	486	4
125	1	29	1
126	6	102	2
127	38	531	5
128	16	749	3
129	2	138	1
130	14	177	2
131	21	332	4
132	15	278	1
133	13	1224	1
134	4	550	1
135	25	759	3
136	25	868	2
137	29	562	5
138	9	180	2
