create_time pay_amount
2018-5-21 00:00:00	9383
2018-5-22 00:00:00	32753
2018-5-23 00:00:00	27401
2018-5-24 00:00:00	19043
2018-5-25 00:00:00	28724
2018-5-26 00:00:00	28741
2018-5-27 00:00:00	23557
2018-5-28 00:00:00	29147
2018-5-29 00:00:00	36082
2018-5-30 00:00:00	29647
2018-5-31 00:00:00	36233
2018-6-1 00:00:00	39658
2018-6-2 00:00:00	19612
2018-6-3 00:00:00	24280
2018-6-4 00:00:00	27968
2018-6-5 00:00:00	41673
2018-6-6 00:00:00	30083
2018-6-7 00:00:00	48780
2018-6-8 00:00:00	34227
2018-6-9 00:00:00	28043
2018-6-10 00:00:00	25236
2018-6-11 00:00:00	24863
2018-6-12 00:00:00	38397
2018-6-13 00:00:00	44102
2018-6-14 00:00:00	33823
2018-6-15 00:00:00	27450
2018-6-16 00:00:00	32181
2018-6-17 00:00:00	20709
2018-6-18 00:00:00	26017
2018-6-19 00:00:00	27188
2018-6-20 00:00:00	27853
2018-6-21 00:00:00	37740
2018-6-22 00:00:00	30303
2018-6-23 00:00:00	26049
2018-6-24 00:00:00	27628
2018-6-25 00:00:00	25983
2018-6-26 00:00:00	23870
2018-6-27 00:00:00	32341
2018-6-28 00:00:00	32318
2018-6-29 00:00:00	29446
2018-6-30 00:00:00	39191
2018-7-1 00:00:00	19491
2018-7-2 00:00:00	36478
2018-7-3 00:00:00	28426
2018-7-4 00:00:00	25270
2018-7-5 00:00:00	24572
2018-7-6 00:00:00	40790
2018-7-7 00:00:00	38689
2018-7-8 00:00:00	34950
2018-7-9 00:00:00	30707
2018-7-10 00:00:00	12062
