2	434	3
3	952	10
3	497	10
3	711	10
3	278	10
3	592	10
4	37	13
4	991	13
4	1000	13
4	818	13
4	539	13
5	771	6
5	435	6
6	89	13
6	688	13
6	684	13
6	875	13
7	365	5
7	368	5
7	553	5
7	417	4
7	125	4
8	195	13
8	1021	13
8	460	13
8	588	13
8	94	13
9	393	11
9	717	11
9	798	11
9	746	11
9	764	11
10	887	3
10	368	9
10	248	9
10	315	9
11	521	5
11	43	5
11	920	10
11	139	10
11	36	10
13	464	15
13	614	15
13	116	15
13	244	15
13	277	15
14	320	12
14	474	12
14	812	12
14	938	12
14	462	12
15	57	7
15	133	7
15	86	7
15	880	7
15	458	7
15	569	3
15	404	3
16	852	13
16	814	13
16	6	13
16	823	13
16	300	13
17	119	6
17	274	6
17	887	6
17	306	6
17	79	6
17	607	6
18	6	7
18	454	7
18	569	7
18	565	7
18	132	7
18	715	7
18	50	9
18	609	9
18	742	9
18	752	9
19	211	8
19	309	8
19	221	8
19	399	4
19	684	3
22	414	4
22	159	10
22	143	10
22	847	10
22	711	10
22	102	4
23	815	12
23	554	12
23	54	12
23	823	12
23	103	12
24	806	1
25	979	11
25	959	11
25	862	11
25	253	11
25	462	11
25	604	10
25	56	10
25	1006	10
25	1021	10
25	620	10
25	876	9
25	282	9
25	239	9
25	167	9
25	20	9
26	994	14
26	668	14
26	746	14
26	838	14
26	812	11
26	369	11
26	101	11
26	782	11
26	188	13
26	332	13
26	803	13
26	457	13
26	847	13
27	1018	9
27	379	9
27	346	9
27	741	9
27	891	7
27	426	7
27	238	7
27	180	9
27	448	9
27	436	9
28	582	10
28	456	10
28	202	10
28	27	10
28	731	7
28	763	7
28	710	7
28	4	7
29	945	8
29	898	8
29	228	8
29	331	8
29	214	4
29	176	10
29	683	10
29	417	10
29	41	10
29	862	10
29	181	2
29	198	7
29	285	7
30	519	12
30	742	12
30	236	12
30	957	12
30	233	12
30	168	8
30	28	8
30	401	8
30	927	8
30	191	6
30	598	6
31	795	3
31	988	3
31	541	5
31	487	5
31	615	5
31	378	2
32	22	3
32	1007	12
32	569	12
32	626	12
32	535	12
32	910	12
33	995	12
33	784	12
33	815	12
33	918	12
33	342	12
33	743	12
33	519	12
33	664	12
33	924	12
33	979	12
33	40	8
33	429	8
33	535	8
34	685	6
34	173	6
34	344	6
35	5	13
35	165	13
35	330	13
35	865	13
35	468	4
35	57	4
37	130	9
37	647	9
37	770	9
37	957	9
37	523	16
37	80	16
37	621	16
37	963	16
37	50	16
37	139	7
37	451	7
37	771	7
37	232	7
38	914	4
38	888	10
38	976	10
38	396	10
38	725	3
40	56	10
40	29	10
40	303	10
40	899	10
40	534	4
40	572	4
42	1003	5
42	985	5
42	46	5
42	171	3
43	228	14
43	344	14
43	66	14
43	567	14
43	413	14
43	481	4
43	208	1
44	517	4
44	225	6
44	390	6
44	932	6
44	460	6
44	816	6
44	171	1
44	211	8
44	929	8
44	87	8
45	208	7
45	963	7
45	558	7
45	832	13
45	560	13
46	807	6
46	649	6
46	740	6
46	223	8
46	57	8
46	192	8
46	636	3
46	627	1
48	551	4
48	347	4
48	93	3
48	784	6
48	377	6
48	567	4
48	112	9
48	222	9
48	684	9
49	883	7
49	586	7
49	616	2
49	122	2
49	378	6
49	702	6
49	998	6
49	538	3
49	374	3
50	865	13
50	145	13
50	980	13
50	165	13
50	481	13
50	842	2
